year,Index offense rate,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
1963,1180.8,107.2,7.4,6.1,25.1,68.6,1073.7,327.6,662.8,83.3
1963,3787,241.2,3.8,17.5,93.6,126.3,3545.8,998.9,2184.7,362.2
1963,2660.8,130.3,4.8,14.5,68.3,42.6,2530.5,670.5,1553.5,306.5
1963,1577.1,44.7,1.8,3.3,13.7,25.9,1532.4,470.9,877.6,183.9
1963,2377.3,89.1,5,9,38,37,2288.2,707.1,1377.9,203.2
1963,3206,594,11.9,10.9,213.9,357.3,2612,875.2,1302.6,434.2
1963,2786,215,8.2,7,71.1,128.7,2571,824.6,1575.3,171.2
1963,1687.4,169.5,9.4,9.6,34.1,116.5,1517.9,468.6,841.6,207.7
1963,2542.5,31,1.7,2.6,11.5,15.1,2511.5,712.4,1557.9,241.2
1963,1880.2,50.8,2.5,5.5,12.2,30.6,1829.5,337.3,1394,98.2
1963,2585.3,330.3,5.1,13.9,188.5,122.7,2255,541.3,1332.1,381.6
1963,2050.2,102.7,2.8,8.1,47.3,44.5,1947.5,538.9,1195.7,213
1963,1179.3,22.6,1.3,3.6,9.1,8.7,1156.7,270.4,804.8,81.5
1963,1642,82.3,2.6,6.7,29.1,44,1559.7,370.1,1081.7,108
1963,1437.2,92.1,5.6,5.4,35.8,45.3,1345.1,436.4,780.6,128.1
1963,1554.8,169.6,6.9,6.2,42.3,114.2,1385.1,395.8,791.3,198.1
1963,1173.3,31.2,1.9,3.7,6.5,19,1142.2,302.6,737.9,101.6
1963,2142,160.6,6.3,9.4,52.3,92.6,1981.4,485.5,1258.3,237.6
1963,1725.9,66.2,1.9,4.5,27,32.7,1659.7,443.1,850.6,366
1963,2976.3,227.7,3.5,15,103.4,105.7,2748.6,725.5,1797.2,225.8
1963,1696.9,56.7,1.2,2.6,33.9,19,1640.3,404.6,1087.9,147.8
1963,650.8,77.7,7.2,4.3,8.3,57.9,573.1,186,338,49.2
1963,2565.7,199.4,5.2,13.7,87.5,93,2366.3,661.8,1464.2,240.3
1963,2156.9,58.6,2,8.3,20.7,27.6,2098.3,478.1,1375.1,245.1
1963,1431,40.5,2,7,15.5,16,1390.5,293.8,971.3,125.4
1963,4590.2,205.2,7.9,16.3,118.8,62.2,4385.1,1147,2565.5,672.6
1963,931.4,26.2,3.2,4.8,6.9,11.3,905.3,279.3,534.9,91.1
1963,1899,136.8,2.8,8.7,52,73.3,1762.3,556.3,945.9,260.1
1963,2422.3,135.2,5.6,12.2,37.8,79.6,2287.1,597.2,1457.9,232
1963,0,0,0,0,0,0,0,0,0,0
1963,1300.7,210.9,8.2,7.3,19,176.4,1089.9,335,648.7,106.1
1963,1039.4,28.7,2.1,3.5,9.6,13.6,1010.7,190.4,724,96.4
1963,1741.1,89.3,3,6.1,40.7,39.5,1651.8,431.5,1072.4,147.9
1963,1962.8,112.9,5.2,8,40.1,59.6,1849.9,536,1122,191.9
1963,2210.4,76.3,3,8.8,30.3,34.1,2134.1,483.2,1479.9,171
1963,1233.3,111,2.3,8.1,41.8,58.7,1122.3,350.9,612,159.4
1963,2005,56.5,1.4,2.3,17.3,35.6,1948.5,538.4,1139.1,271
1963,1830.6,164.1,10,6,21.6,126.5,1666.5,575.4,957.8,133.2
1963,1116.7,37.7,1.2,5.3,10.6,20.6,1079,246.7,740.6,91.7
1963,1474.2,102.2,6.5,6.7,28.4,60.7,1372,515.9,690.4,165.7
1963,2243.3,169.6,7.4,9.8,35.8,116.7,2073.7,609,1292.8,171.9
1963,2392.4,60.8,2.4,7.8,22.9,27.7,2331.5,500.1,1645.7,185.8
1963,1111.3,23.6,0.5,8.5,6.9,7.7,1087.7,413.8,555.6,118.2
1963,1868.8,190.7,7.1,9.6,29.3,144.8,1678.1,451.1,1093,134
1963,2396.2,66.7,2.5,6.4,30,27.8,2329.5,529,1622.6,177.9
1963,769.9,66.6,5.3,4.2,14.6,42.5,703.2,226.3,402.9,74
1963,1347,32.3,1.7,2.8,9.7,18.1,1314.7,236,958.4,120.3
1963,1867.7,63.2,3.6,6.2,21.4,32,1804.5,345.1,1322.6,136.8
1964,1571.8,213.1,9.3,11.7,29.1,163,1358.7,466.6,784.1,108
1964,2166,150,10.4,22.4,21.2,96,2016,443.6,1218.4,354
1964,3645.3,213,5.2,16.4,61.2,130.2,3432.3,868.2,2225.8,338.3
1964,1359.2,136.6,7.6,8.1,29.2,91.7,1222.6,369.1,756.4,97.1
1964,4139.9,265.6,4.1,20,103.2,138.2,3874.3,1088.7,2366.5,419.1
1964,2728.7,158.6,4.2,17.1,67.3,70.1,2570.1,679.9,1619,271.2
1964,1806.1,64.1,1.8,5.5,15,41.9,1742,531.9,1003.4,206.7
1964,2513.6,110.2,4.7,8.1,41.3,56,2403.5,674.7,1468.6,260.1
1964,3754.2,632.7,16.3,11.9,282.1,322.4,3121.5,1102.7,1351.5,667.3
1964,3358.1,289.9,8.6,10.3,86.9,184.1,3068.2,963.3,1898.5,206.4
1964,1837.3,192.9,11.7,12.3,33.7,135.3,1644.4,528.8,883.9,231.7
1964,2790.2,82,2.1,2.6,13.6,63.8,2708.1,838.8,1612.1,257.2
1964,1949.7,77.6,4,5.9,10.3,57.4,1872.1,330.2,1445.1,96.8
1964,2685.4,351.9,5.5,15,182.3,149.2,2333.4,547.4,1380.3,405.7
1964,2183.3,136,3,10.5,58.1,64.5,2047.2,534.7,1287,225.6
1964,1356.4,36.5,1.3,5,11.2,19,1319.9,290.4,933.7,95.8
1964,1973.8,115.6,3.4,11.1,28,73.2,1858.2,432.6,1286,139.6
1964,1583.2,110.4,5.2,8,36.1,61,1472.8,461.3,868.3,143.3
1964,1820.8,205.9,8.3,11.1,53.3,133.2,1614.9,482.4,901.6,230.9
1964,1402.1,51.2,1.5,7.8,7.6,34.3,1351,372.9,866.8,111.2
1964,2386.9,217,6.7,10.1,59.5,140.7,2170,545.9,1354.1,270
1964,1987.6,85.4,2,6,30.6,46.8,1902.2,529.7,920.4,452.1
1964,3189.2,261.2,3.5,19.8,113.1,124.9,2928,789.8,1875.9,262.3
1964,1999.4,73.9,1.4,4.5,36.5,31.5,1925.5,534.9,1209.3,181.3
1964,946.6,178,10.1,9.4,20.6,137.9,768.6,266.1,447.7,54.9
1964,2903.4,216.7,5.4,15,89.7,106.5,2686.7,749.6,1677.5,259.5
1964,2103.1,80,2.7,7.5,15.6,54.2,2023.1,472.1,1350.2,200.9
1964,1601.7,52.4,2.3,5.7,20.7,23.7,1549.3,326.5,1074,148.8
1964,4255.9,240.9,7.8,13.2,109.8,110,4015,1082.4,2415.7,516.9
1964,966.7,22.8,0.9,3.8,6.6,11.5,943.9,279.4,580.6,83.9
1964,2059.2,156.5,3.1,9.1,57,87.2,1902.7,600.8,1018.7,283.2
1964,2670.2,160,5.6,12.3,47.2,94.9,2510.2,672.8,1598,239.4
1964,0,0,0,0,0,0,0,0,0,0
1964,1499.2,254.4,8,9.6,22.7,214.2,1244.8,399.2,732.8,112.8
1964,1092.4,35.5,0.9,7,8.7,18.9,1056.9,239.7,726.7,90.5
1964,1969.7,114.7,3.5,7.1,46.2,57.9,1855,466.3,1205.2,183.4
1964,2164.4,146.4,4.5,10.9,42.8,88.2,2018,600.1,1217,200.8
1964,2535.4,107.4,1.8,12,37.6,56,2428.1,573.3,1646.8,207.9
1964,1368.2,123.6,3.4,9.3,44.6,66.4,1244.6,386,671.8,186.7
1964,2358.5,63.2,1.2,2.7,17.7,41.6,2295.3,643.3,1329.9,322.1
1964,2052.4,165.9,8.1,10.6,25.8,121.5,1886.5,621.3,1095.2,170
1964,1219.3,57.1,1.3,5.5,8.3,42.1,1162.2,261.5,816.4,84.3
1964,1571.6,118.6,5.9,8.8,30.2,73.6,1452.9,561.4,715.8,175.8
1964,2507.5,190.1,7.6,11.3,43.1,128.2,2317.3,655.7,1459.4,202.2
1964,2523.9,89.5,1.5,10.1,26.5,51.4,2434.4,527.5,1704.2,202.6
1964,862.3,21.8,0.5,5.9,3.2,12.2,840.6,260.1,481.2,99.3
1964,2187.1,241.2,8.4,11.6,34.7,186.6,1945.9,538,1249.7,158.2
1964,2729.1,92.5,2.4,7.7,28.5,54,2636.6,600.3,1843.5,192.7
1964,832.6,75.6,3.7,5,16.9,50.1,757,268.1,410.4,78.5
1964,1585.3,42.9,1.5,3,11,27.4,1542.4,285.5,1114.1,142.9
1964,1911.7,83.1,5.5,10.2,13.4,53.9,1828.6,379.3,1330,119.2
1965,1592.5,199.8,11.4,10.6,28.7,149.1,1392.7,473.7,812.1,106.9
1965,2603.6,149,6.3,17.8,39.9,85,2454.5,554.5,1492.9,407.1
1965,3547.8,192.3,5,17.8,55.7,113.9,3355.5,816.5,2251.7,287.3
1965,1274.2,135.8,5.9,10.4,23.7,95.9,1138.4,323.7,727.2,87.5
1965,4319.4,282.2,4.7,21.2,113.3,142.9,4037.2,1209.6,2388,439.6
1965,2704.5,152.7,3.5,16.2,54.5,78.6,2551.8,650.9,1652.2,248.7
1965,1834.4,69.7,1.6,5.2,19.3,43.5,1764.8,563.5,983.8,217.4
1965,2408.7,111.1,5.7,6.5,56.6,42.2,2297.6,647.9,1398.4,251.3
1965,4219.8,722.8,18.4,17.4,358.8,328.1,3497,1231.1,1566.1,699.8
1965,3320.2,299.5,8.9,13.3,88.6,188.6,3020.7,957,1855.9,207.8
1965,1764.3,201.4,11.3,13.4,29.8,147,1562.9,487.4,882,193.5
1965,3252.3,69.1,3.2,0.8,18.7,46.3,3183.3,980.9,1839.4,363
1965,1982.5,71.2,2,5.5,10.1,53.6,1911.3,358.8,1450.1,102.3
1965,2545.9,322.7,5.2,16,164.7,136.7,2223.2,550.2,1293.1,379.9
1965,2170.5,137.1,3.5,10.6,57.4,65.6,2033.4,556.4,1230.6,246.5
1965,1397.6,38.7,1.3,4.5,12.8,20.1,1358.9,304.3,950,104.7
1965,1990.2,107.1,2.7,9.1,24,71.2,1883.2,467.5,1293,122.7
1965,1589.7,108.9,5.3,6.6,36.7,60.4,1480.8,444.8,884.3,151.7
1965,1771.3,203.1,8.1,11.1,51.3,132.6,1568.1,452.3,913.3,202.5
1965,1416.1,44,2.1,4.3,4,33.5,1372.1,404.9,873.2,94
1965,2759.4,285.1,6.7,13.9,82.9,181.5,2474.3,638.6,1529.7,306
1965,2121.4,98.5,2.4,5.4,40,50.7,2022.9,554.5,934.9,533.5
1965,3318.9,297.6,4.6,24,132.1,137,3021.3,867.5,1830.3,323.6
1965,2011.4,86.5,1.4,5.2,40.3,39.5,1924.9,530.5,1192.8,201.6
1965,977.2,170.1,8.9,6.9,14.4,139.9,807.1,285.5,444.2,77.3
1965,2912.3,235.4,6.7,18.1,93.3,117.4,2676.8,763,1651.7,262.1
1965,2150.3,72.8,1.7,7.8,15.9,47.5,2077.5,452.8,1426.6,198
1965,1831.8,57.7,2.4,5.1,21.9,28.2,1774.1,384.8,1226.5,162.8
1965,3754.1,216.6,8.4,15.5,97.5,95.2,3537.5,878,2222.5,437
1965,1051.7,23.3,2.7,2.1,6.9,11.7,1028.4,316.4,624.2,87.7
1965,2046.6,153.9,3.2,8.9,55.4,86.3,1892.7,621.7,976.9,294.1
1965,2859.7,198.9,6.3,13.8,43.6,135.2,2660.7,735,1699.8,225.9
1965,3065.6,325.4,4.6,12.8,155.9,152,2740.3,1015,1401.8,323.4
1965,1568.4,259.6,8.3,9.1,23,219.1,1308.9,409.3,779.6,120
1965,1066.3,34.2,0.9,5.1,4.6,23.6,1032.1,206.7,748.5,76.8
1965,1946.1,124.8,3.6,8.9,51.6,60.7,1821.2,470.5,1160.8,189.9
1965,2019.9,134.5,4.4,11.1,38.6,80.5,1885.4,555.4,1137.3,192.7
1965,2758.1,120.6,3.4,11.9,46,59.3,2637.5,636.1,1798.9,202.5
1965,1488.1,142.2,3.6,10.3,52.7,75.7,1345.9,417.3,707.3,221.4
1965,2250.5,78.5,2.1,3.8,19,53.6,2172.1,596.3,1255.9,319.9
1965,1859,177.2,9.6,11.2,21.5,134.9,1681.8,526.1,1001.2,154.5
1965,1275.7,59,1.6,6.8,9.2,41.4,1216.6,264.3,878.7,73.7
1965,1513,138.7,8,11.1,28.6,91.1,1374.3,522.9,684.7,166.7
1965,2583.9,199.3,7.5,10.7,42.7,138.3,2384.6,678.9,1514.2,191.4
1965,2913.6,89.5,1.5,8.9,23.1,56,2824.1,606.9,2008.8,208.5
1965,980.4,22.4,0.5,6.5,4.5,10.8,957.9,323.9,536,98
1965,2199.3,227.6,8.2,12,39.9,167.5,1971.6,548.7,1250.9,172.1
1965,2721.3,103,2.2,10.2,30.3,60.4,2618.3,611.1,1815.7,191.5
1965,819.4,78,4,4.2,14.4,55.4,741.4,253.9,418.2,69.4
1965,1588.9,46.1,1.5,3.6,11.5,29.5,1542.8,286.5,1102.8,153.5
1965,1972.6,75.6,2.9,11.5,17.9,43.2,1897.1,363.2,1397.6,136.2
1966,1758.3,230.3,10.9,9.7,32,177.7,1528,527.5,869.6,131
1966,2785.7,150.4,12.9,19.5,36,82,2635.3,593,1600.7,441.5
1966,4135.8,202.2,6.1,18.3,55.5,122.4,3933.6,931.1,2630.1,372.3
1966,1382.9,162.9,7.1,9.8,29.4,116.6,1219.9,360.3,774.4,85.2
1966,4549.4,305.1,4.6,23.4,118,159.1,4244.3,1277.4,2506.2,460.7
1966,3009.6,168.9,4,17.3,53.8,93.8,2840.7,711,1831.3,298.3
1966,1982.3,74.6,2,6,20.9,45.8,1907.6,616.6,1040.7,250.3
1966,2619.7,127.9,9,9.6,58.6,50.8,2491.8,762.3,1458.8,270.7
1966,4942.7,885.5,17.5,16.6,458.3,393.2,4057.2,1299.3,1945.4,812.5
1966,3716.3,337.8,10.3,14.7,99.9,213,3378.5,1057.7,2077.5,243.3
1966,1879.8,203.3,11.3,14.6,34.9,142.6,1676.5,551.2,943.5,181.7
